home_team,away_team,home_score,away_score,season_year,Date_day,Date_hour,first_half,second_half,home_team_goals_current_time,home_team_goals_current_score,home_team_goals,home_team_goals_assist,away_team_goals_current_time,away_team_goals_current_score,away_team_goals,away_team_goals_assist,home_team_yellow_card_current_time,home_team_yellow_card,home_team_yellow_card_why,away_team_yellow_card_current_time,away_team_yellow_card,away_team_yellow_card_why,home_team_red_card_current_time,home_team_red_card,home_team_red_card_why,away_team_red_card_current_time,away_team_red_card,away_team_red_card_why,home_team_substitutions_current_time,home_team_substitutions,home_team_substitutions_with,home_team_substitution_why,away_team_substitutions_current_time,away_team_substitutions,away_team_substitutions_with,away_team_substitution_why,expected_goals_xg_home,expected_goals_xg_host,Ball_Possession_Home,Ball_Possession_Host,Goal_Attempts_Home,Goal_Attempts_Host,Shots_on_Goal_Home,Shots_on_Goal_Host,Shots_off_Goal_Home,Shots_off_Goal_Host,Free_Kicks_Home,Free_Kicks_Host,Corner_Kicks_Home,Corner_Kicks_Host,Offsides_Home,Offsides_Host,Throw_ins_Home,Throw_ins_Host,Goalkeeper_Saves_Home,Goalkeeper_Saves_Host,Fouls_Home,Fouls_Host,Red_Cards_Home,Red_Cards_Host,Yellow_Cards_Home,Yellow_Cards_Host,Total_Passes_Home,Total_Passes_Host,Completed_Passes_Home,Completed_Passes_Host,Attacks_Home,Attacks_Host,Dangerous_Attacks_Home,Dangerous_Attacks_Host,Distance_Covered_(km)_Home,Distance_Covered_(km)_Host,referee,venue,capacity,attendance
Bayer Leverkusen,Augsburg,2,1,2023/2024,18.05,16:30,"""2 - 0""","""0 - 1""","[""12'"", ""27'""]","['1 - 0', '2 - 0']","['Boniface V.', 'Andrich R.']","['(Adli A.)', '-']","[""62'""]",['2 - 1'],['Komur M.'],['(Maier A.)'],,,,"[""82'""]",['Uduokhai F.'],"['(Roughing, misses next match)']",,,,,,,"[""63'"", ""63'"", ""70'"", ""70'"", ""82'""]","['Wirtz F.', 'Schick P.', 'Hincapie P.', 'Xhaka G.', 'Stanisic J.']","['Adli A.', 'Boniface V.', 'Grimaldo A.', 'Palacios E.', 'Frimpong J.']","['-', '-', '-', '-', '-']","[""41'"", ""74'"", ""74'"", ""90+1'"", ""90+1'""]","['Engels A.', 'Biel P.', 'Michel S.', 'Beljo D.', 'Kucuksahin M.']","['Breithaupt T.', 'Komur M.', 'Tietz P.', 'Demirovic E.', 'Maier A.']","['(Injury)', '-', '-', '-', '-']",2.86,0.77,62%,38%,19,8,8,2,11,6,6,11,5,4,5,0,10,10,1,6,6,7,,,0,1,728,382,670,321,150,66,84,32,118,118,Jollenbeck M.  (Ger),BayArena  (Leverkusen),30 210,30 210
Dortmund,Darmstadt,4,0,2023/2024,18.05,16:30,"""2 - 0""","""2 - 0""","[""30'"", ""38'"", ""72'"", ""88'""]","['1 - 0', '2 - 0', '3 - 0', '4 - 0']","['Maatsen I.', 'Reus M.', 'Brandt J.', 'Malen D.']","['(Reus M.)', '-', '(Sancho J.)', '-']",,,,,,,,"[""7'"", ""45'"", ""59'""]","['Klarer C.', 'Gjasula K.', 'Vilhelmsson O.']","['(Tripping)', '(Holding)', '(Tripping)']",,,,,,,"[""61'"", ""61'"", ""73'"", ""73'"", ""82'""]","['Malen D.', 'Brandt J.', 'Wolf M.', 'Gittens J.', 'Nmecha F.']","['Adeyemi K.', 'Fullkrug N.', 'Ryerson J.', 'Sancho J.', 'Reus M.']","['-', '-', '-', '-', '-']","[""66'"", ""66'"", ""67'"", ""78'"", ""85'""]","['Honsak M.', 'Justvan J.', 'Isherwood T.', 'Torsiello F.', 'Schnellhardt F.']","['Vilhelmsson O.', 'Mehlem M.', 'Zimmermann C.', 'Skarke T.', 'Gjasula K.']","['-', '-', '(Injury)', '-', '-']",2.83,0.42,71%,29%,21,7,10,1,11,6,13,4,7,3,0,2,17,15,1,6,4,10,,,0,3,727,258,669,204,117,58,66,27,104,107,Siebert D.  (Ger),Signal Iduna Park  (Dortmund),81 365,81 365
Eintracht Frankfurt,RB Leipzig,2,2,2023/2024,18.05,16:30,"""0 - 1""","""2 - 1""","[""60'"", ""77'""]","['1 - 2', '2 - 2']","['Ekitike H.', 'Marmoush O.']","['(Knauff A.)', '(Penalty)']","[""42'"", ""46'""]","['0 - 1', '0 - 2']","['Simons X.', 'Sesko B.']","['(Penalty)', '(Seiwald N.)']","[""61'"", ""90+2'""]","['Koch R.', 'Knauff A.']","['(Foul)', '(Unsportsmanlike conduct)']","[""51'"", ""90+2'""]","['Henrichs B.', 'Simons X.']","['(Foul, misses next match)', '(Foul)']",,,,,,,"[""78'"", ""78'"", ""90+7'"", ""90+10'"", ""90+11'""]","['Larsson H.', 'Dina Ebimbe J.', 'Nkounkou N.', 'Hasebe M.', 'Rode S.']","['Skhiri E.', 'Buta', 'Ekitike H.', 'Chaibi F.', 'Gotze M.']","['-', '-', '-', '-', '-']","[""74'"", ""90'"", ""90'"", ""90+11'"", ""90+11'""]","['Baumgartner C.', 'Kampl K.', 'Bitshiabu E.', 'Norbye J.', 'Jatta N.']","['Elmas E.', 'Haidara A.', 'Henrichs B.', 'Simons X.', 'Sesko B.']","['-', '-', '-', '-', '-']",2.02,1.73,46%,54%,19,9,6,5,13,4,12,8,8,3,0,4,22,16,3,4,10,11,,,2,2,432,520,354,442,107,86,49,28,113,113,Zwayer F.  (Ger),Deutsche Bank Park  (Frankfurt),58 000,57 500
Heidenheim,FC Koln,4,1,2023/2024,18.05,16:30,"""3 - 0""","""1 - 1""","[""16'"", ""22'"", ""36'"", ""78'""]","['1 - 0', '2 - 0', '3 - 0', '4 - 1']","['Dinkci E.', 'Dinkci E.', 'Sessa K.', 'Beste J.']","['(Beste J.)', '-', '-', '(Pick F.)']","[""64'""]",['3 - 1'],['Tigges S.'],['-'],"[""76'""]",['Kleindienst T.'],['(Roughing)'],"[""30'"", ""52'"", ""77'""]","['Kainz F.', 'Hubers T.', 'Maina L.']","['(Roughing)', '(Tripping)', '(Foul)']",,,,,,,"[""66'"", ""80'"", ""87'"", ""87'""]","['Pick F.', 'Theuerkauf N.', 'Pieringer M.', 'Thomalla D.']","['Sessa K.', 'Dinkci E.', 'Beste J.', 'Schoppner J.']","['-', '-', '-', '-']","[""46'"", ""46'"", ""55'"", ""62'"", ""76'""]","['Downs D.', 'Uth M.', 'Carstensen R.', 'Paqarada L.', 'Dietz F.']","['Alidou F.', 'Kainz F.', 'Thielmann J.', 'Heintz D.', 'Martel E.']","['-', '-', '-', '-', '-']",0.92,2.56,50%,50%,13,19,7,9,6,10,19,11,5,12,2,0,27,22,8,3,9,20,,,1,3,370,419,303,344,87,76,49,65,117,117,Welz T.  (Ger),Voith-Arena  (Heidenheim),15 000,15 000
Hoffenheim,Bayern Munich,4,2,2023/2024,18.05,16:30,"""1 - 2""","""3 - 0""","[""8'"", ""68'"", ""85'"", ""87'""]","['1 - 2', '2 - 2', '3 - 2', '4 - 2']","['Beier M.', 'Kramaric A.', 'Kramaric A.', 'Kramaric A.']","['(Kramaric A.)', '(Bebou I.)', '(Bischof T.)', '-']","[""4'"", ""6'""]","['0 - 1', '0 - 2']","['Tel M.', 'Davies A.']","['(Muller T.)', '(Tel M.)']","[""51'"", ""54'"", ""88'""]","['Promel G.', 'Grillitsch F.', 'Kramaric A.']","['(Unsportsmanlike conduct, misses next match)', '(Foul)', '(Unsportsmanlike conduct)']","[""90+4'""]",['Zaragoza B.'],['(Foul)'],,,,,,,"[""61'"", ""61'"", ""81'"", ""90+5'""]","['Tohumcu U.', 'Jurasek D.', 'Bischof T.', 'Weghorst W.']","['Promel G.', 'Bulter M.', 'Stach A.', 'Beier M.']","['-', '-', '-', '-']","[""34'"", ""81'""]","['Zvonarek L.', 'Zaragoza B.']","['Pavlovic A.', 'Tel M.']","['-', '-']",2.21,1.59,48%,52%,17,12,9,4,8,8,11,8,6,5,1,3,14,11,2,5,7,9,,,3,1,469,509,408,453,115,82,53,35,122,116,Fritz M.  (Ger),PreZero Arena  (Sinsheim),30 150,30 150
Stuttgart,B. Monchengladbach,4,0,2023/2024,18.05,16:30,"""2 - 0""","""2 - 0""","[""23'"", ""31'"", ""75'"", ""83'""]","['1 - 0', '2 - 0', '3 - 0', '4 - 0']","['Guirassy S.', 'Guirassy S.', 'Jeong Woo-Yeong', 'Silas']","['(Millot E.)', '(Karazor A.)', '(Guirassy S.)', '(Jeong Woo-Yeong)']",,,,,"[""90+2'""]",['Undav D.'],"['(Unsportsmanlike conduct, misses next match)']","[""56'"", ""89'""]","['Friedrich M.', 'Herrmann P.']","['(Roughing)', '(Roughing)']",,,,,,,"[""57'"", ""57'"", ""57'"", ""80'"", ""85'""]","['Jeong Woo-Yeong', 'Silas', 'Stenzel P.', 'Rouault A.', 'Haraguchi G.']","['Karazor A.', 'Fuhrich C.', 'Leweling J.', 'Ito H.', 'Guirassy S.']","['-', '-', '-', '-', '-']","[""66'"", ""66'"", ""79'"", ""79'"", ""79'""]","['Ullrich L.', 'Cvancara T.', 'Herrmann P.', 'Fukuda S.', 'Chiarodia F. C.']","['Plea A.', 'Ngoumou N.', 'Netz L.', 'Kone M.', 'Siebatcheu J.']","['-', '-', '-', '-', '-']",1.84,1.45,58%,42%,21,13,11,5,10,8,10,6,8,4,0,1,10,14,5,7,4,9,,,1,2,716,475,666,428,118,75,46,30,114,110,Schlager D.  (Ger),MHPArena  (Stuttgart),60 449,60 058
Union Berlin,Freiburg,2,1,2023/2024,18.05,16:30,"""0 - 0""","""2 - 1""","[""68'""]",['1 - 0'],['Hollerbach B.'],['(Aaronson B.)'],"[""85'""]",['1 - 1'],['Doan R.'],['(Grifo V.)'],"[""52'"", ""67'"", ""70'"", ""75'"", ""85'""]","['Knoche R.', 'Trimmel C.', 'Juranovic J.', 'Gosens R.', 'Haberer J.']","['(Tripping)', '(Roughing)', '(Tripping)', '(Unsportsmanlike conduct)', '(Unsportsmanlike conduct)']","[""37'"", ""54'"", ""75'"", ""90+1'""]","['Makengo J.', 'Doan R.', 'Kubler L.', 'Eggestein M.']","['(Handling)', '(Tripping)', '(Unsportsmanlike conduct)']",,,,,,,"[""62'"", ""63'"", ""63'"", ""80'"", ""84'""]","['Haberer J.', 'Hollerbach B.', 'Volland K.', 'Laidouni A.', 'Jaeckel P.']","['Schafer A.', 'Vertessen Y.', 'Leite D.', 'Aaronson B.', 'Juranovic J.']","['-', '-', '-', '-', '-']","[""59'"", ""59'"", ""77'"", ""83'""]","['Gregoritsch M.', 'Weisshaupt N.', 'Philipp M.', 'Muslija F.']","['Holer L.', 'Gunter C.', 'Sallai R.', 'Hofler N.']","['-', '-', '-', '-']",2.68,1.04,43%,57%,14,11,5,5,9,6,8,14,3,7,0,0,25,15,4,3,14,9,,,7,4,303,517,245,455,71,104,48,43,120,116,Dingert C.  (Ger),Stadion An der Alten Försterei  (Berlin),22 012,22 012
Werder Bremen,Bochum,4,1,2023/2024,18.05,16:30,"""1 - 0""","""3 - 1""","[""6'"", ""78'"", ""80'"", ""87'""]","['1 - 0', '2 - 0', '3 - 0', '4 - 1']","['Friedl M.', 'Jung A.', 'Stage J.', 'Schmid R.']","['-', '(Ducksch M.)', '(Schmid R.)', '(Ducksch M.)']","[""85'""]",['3 - 1'],['Antwi-Adjei C.'],['(Stoger K.)'],"[""36'""]",['Lynen S.'],['(Foul)'],"[""37'""]",['Wittek M.'],['(Foul)'],,,,,,,"[""46'"", ""73'"", ""73'"", ""85'"", ""90'""]","['Stage J.', 'Kownacki D.', 'Gross C.', 'Deman O.', 'Hansen-Aaroen I.']","['Lynen S.', 'Woltemade N.', 'Bittencourt L.', 'Agu F.', 'Schmid R.']","['-', '-', '-', '-', '-']","[""46'"", ""67'"", ""77'"", ""77'"", ""77'""]","['Bero M.', 'Asano T.', 'Paciencia G.', 'Gamboa C.', 'Antwi-Adjei C.']","['Osterhage P.', 'Broschinski M.', 'Losilla A.', 'Oermann T.', 'Wittek M.']","['-', '-', '-', '-', '-']",3.87,1.98,48%,52%,25,26,12,8,13,18,12,12,8,8,0,0,15,19,7,8,12,12,,,1,1,355,392,288,314,74,141,48,51,114,115,Petersen M.  (Ger),Weserstadion  (Bremen),42 100,42 100
Wolfsburg,Mainz,1,3,2023/2024,18.05,16:30,"""1 - 1""","""0 - 2""","[""18'""]",['1 - 0'],['Paredes K.'],['(Kaminski J.)'],"[""24'"", ""71'"", ""85'""]","['1 - 1', '1 - 2', '1 - 3']","['Gruda B.', 'van den Berg S.', 'Burkardt J.']","['(Amiri N.)', '-', '(Gruda B.)']","[""52'"", ""71'""]","['Wimmer P.', 'Majer L.']","['(Tripping)', '(Tripping, misses next match)']","[""12'"", ""54'"", ""89'""]","['Lee Jae-Sung', 'Hanche-Olsen A.', 'Kohr D.']","['(Roughing)', '(Tripping, misses next match)', '(Roughing, misses next match)']",,,,,,,"[""46'"", ""76'"", ""76'"", ""80'""]","['Wimmer P.', 'Behrens K.', 'Cerny V.', 'Broger B.']","['Paredes K.', 'Wind J.', 'Baku R.', 'Wimmer P.']","['-', '-', '-', '-']","[""73'"", ""73'"", ""87'"", ""90+5'"", ""90+5'""]","['Caci A.', 'Ajorque L.', 'Krauss T.', 'Guilavogui J.', 'Richter M.']","['Widmer S.', 'Lee Jae-Sung', 'Gruda B.', 'Burkardt J.', 'Amiri N.']","['-', '-', '-', '-', '-']",1.13,1.65,60%,40%,12,12,4,6,8,6,15,14,1,3,1,3,16,25,3,3,13,15,,,2,3,461,257,369,180,102,108,38,34,114,116,Willenborg F.  (Ger),Volkswagen Arena  (Wolfsburg),28 917,26 627
Bochum,Bayer Leverkusen,0,5,2023/2024,12.05,20:30,"""0 - 2""","""0 - 3""",,,,,"[""41'"", ""45+2'"", ""76'"", ""86'"", ""90+3'""]","['0 - 1', '0 - 2', '0 - 3', '0 - 4', '0 - 5']","['Schick P.', 'Boniface V.', 'Adli A.', 'Stanisic J.', 'Grimaldo A.']","['(Arthur)', '(Penalty)', '(Hofmann J.)', '(Arthur)', '(Stanisic J.)']","[""45+1'"", ""63'""]","['Schlotterbeck K.', 'Ordets I.']","['(Tripping)', '(Tripping)']","[""27'""]",['Tella N.'],['(Roughing)'],"[""15'""]",['Passlack F.'],['(Holding)'],,,,"[""20'"", ""46'"", ""61'"", ""61'""]","['Oermann T.', 'Masovic E.', 'Bero M.', 'Daschner L.']","['Asano T.', 'Bernardo', 'Losilla A.', 'Hofmann P.']","['-', '-', '-', '-']","[""64'"", ""69'"", ""69'"", ""79'"", ""79'""]","['Hofmann J.', 'Iglesias B.', 'Adli A.', 'Grimaldo A.', 'Puerta G.']","['Kossounou O.', 'Boniface V.', 'Schick P.', 'Tella N.', 'Xhaka G.']","['-', '-', '-', '-', '-']",0.16,4.29,34%,66%,2,28,0,10,2,18,12,8,2,6,3,2,12,17,5,0,5,10,1,0,2,1,280,615,213,554,76,114,27,73,104,111,Brand B.  (Ger),Vonovia Ruhrstadion  (Bochum),26 000,26 000
